강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2022학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,국어국문학과,학사,1학년,041.011,001,21세기 한국소설의 이해,,3,3,0,목(15:30~18:20),이론,1-210,,4,60 (30),0,,한국어,설강
전선,농업생명과학대학,,학사,2학년,M2179.003900,001,4차 산업혁명과 농업 I,,3,2,2,수(14:00~15:50)/수(16:00~17:50),이론/실습,200-1023/200-1023,김용환,1,24 (24),0,,한국어,설강
전선,미술대학,조소과,학사,3학년,603.420,001,3D 미디어 구현기법,,2,1,2,금(10:00~12:50),이론,83-503,한승구,1,15 (15),0,,한국어,설강
전선,공과대학,컴퓨터공학부,학사,4학년,4190.422,001,IT-리더십세미나,,1,1,0,수(13:00~13:50),이론,302-105,신영길,27,150 (150),0,"(수강신청 1~4일: 2/7~2/10) 컴퓨터공학부 주전공(자유전공학부(컴공 주전공) 포함)만 신청 가능 (수강신청 5일차부터: 2/11) 컴퓨터공학부 주전공(자유전공학부(컴공 주전공) 포함), 컴퓨터공학부 복수전공, 부전공, 연합전공 인공지능, 연합전공 인공지능 반도체공학 전공만 신청가능 (수강신청 6일차부터: 2/14) 전체 학생 신청 가능 (정원내 신청 가능)",한국어,설강
전필,농업생명과학대학,조경·지역시스템공학부,학사,2학년,5271.221B,001,GIS와 계량분석실습,,3,2,2,수(09:00~10:50)/수(11:00~12:50),이론/실습,200-9207/200-9207,이동근,2,30 (30),0,,한국어,설강
전선,생활과학대학,의류학과,석박사통합,0,M1461.003100,001,ICT융합섬유제조공정현장학습,,3,2,2,금(14:00~15:50)/금(16:00~17:50),이론/실습,222-226/222-226,김성민,1,20 (20),0,,한국어,설강
전선,치과대학,치의과학과,석박사통합,0,850.804,001,CAD/CAM을 이용한 최신 보철 수복,,3,3,0,월(18:00~20:50),이론,,이재현,0,30 (30),0,,한국어,설강
전선,인문대학,독어독문학과,학사,1학년,100.167,001,EU와 독일어권 문화,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,2-213/2-213,이경진,4,30 (30),0,,한국어,설강
전선,자연과학대학,협동과정생물물리및화학생물학전공,석박사통합,0,M1430.001600,001,BPCB 세미나 Ⅱ,,2,0,4,수(09:00~12:50),실습,500-L304,박승범,0,10 (10),0,,한국어,설강
전선,공과대학,건축학과,석박사통합,0,M1498.002400,001,ICT기반 스마트 건축,,3,3,0,목(16:00~18:50),이론,39-427,정민혁,4,30 (30),0,,한국어,설강
