강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2020학년도,   학기 : 2학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,국어국문학과,학사,1학년,031.001,001,글쓰기의 기초,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,083-401/083-401,이은주,41,25 (25),19,®'2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,002,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,083-201/083-201,이은주,48,25 (25),21,®'2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,003,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,003-108/003-108,이은주,43,25 (25),19,®'2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,004,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,083-505/083-505,이은주,27,25 (25),19,®'2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,005,글쓰기의 기초,,3,3,0,금(09:00~11:50),이론,014-103,박혜승,11,20 (20),7,®'<글로벌 인재반>: '글로벌인재특별전형'의 1유형 혹은 2유형으로 입학한 학생과 교환 학생만 수강 가능. (단 해당 전형으로 입학하였어도 한국어 글쓰기 능력에 따라 다른 강좌를 수강할 수 있음.) / 2018학번 포함 이전 학번만 수강 가능 / 졸업 예정자에 한하여 초안지 접수. 문의: 국어국문학과 사무실.,한국어,설강
교양,기초교육원,,학사,1학년,031.002,001,인문학글쓰기,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,043-1-403/043-1-403,김재호,23,25 (25),19,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.003,001,사회과학글쓰기,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,083-502/083-502,정지웅,26,25 (25),20,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.004,001,과학과 기술 글쓰기,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,043-1-405/043-1-405,유혁,10,25 (25),11,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.004,002,과학과 기술 글쓰기,,3,3,0,금(14:00~16:50),이론,043-1-302,박현정,19,25 (25),14,®2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.004,003,과학과 기술 글쓰기,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,043-1-304/043-1-304,현영종,22,25 (25),23,® (담당교수: 현영종) 2018학번 포함 이전학번 수강가능,한국어,설강
교양,기초교육원,,학사,1학년,031.031,001,말하기와 토론,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,043-1-303/043-1-303,김종영,21,25 (25),9,<초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.031,002,말하기와 토론,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,043-1-303/043-1-303,김종영,23,25 (25),17,<초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.031,003,말하기와 토론,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,043-1-303/043-1-303,김종영,23,25 (25),22,<초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.031,004,말하기와 토론,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,043-1-303/043-1-303,김종영,12,25 (25),6,<초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.031,006,말하기와 토론,,3,3,0,수(15:00~17:50),이론,083-401,황은미,5,25 (25),3,<졸업학기 외 초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.031,007,말하기와 토론,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,003-108/003-108,이상원,32,25 (25),22,<초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.031,008,말하기와 토론,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,014-102/014-102,백미숙,9,25 (25),12,<초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.031,010,말하기와 토론,,3,3,0,화(14:00~16:50),이론,083-401,홍은영,8,25 (25),6,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,011,말하기와 토론,,3,3,0,목(14:00~16:50),이론,083-401,홍은영,6,25 (25),7,,한국어,설강
교양,기초교육원,,학사,1학년,031.031,012,말하기와 토론,,3,3,0,금(14:00~16:50),이론,043-1-403,김용신,8,25 (25),7,<초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.031,013,말하기와 토론,,3,3,0,금(10:00~12:50),이론,014-102,백미숙,14,25 (25),16,<초안지 미수용>,한국어,설강
교양,기초교육원,,학사,1학년,031.032,001,창의적 사고와 표현,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,003-211-1/003-211-1,김재호,27,25 (25),22,주제: 자아와 타자의 이해,한국어,설강
