강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2019학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,국어국문학과,학사,1학년,031.001,001,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,001-210/001-210,서반석,70,25 (25),24,®,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,002,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,001-207/001-207,서반석,50,25 (25),22,®,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,003,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,001-207/001-207,김승민,61,25 (25),23,®,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,004,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,001-207/001-207,이은주,65,25 (25),24,®,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,005,글쓰기의 기초,,3,3,0,금(09:00~11:50),이론,001-209,박혜승,11,25 (25),7,®비한국계 외국인반,한국어,설강
교양,기초교육원,,학사,1학년,031.002,001,인문학글쓰기,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,008-304/008-304,이유선,27,25 (25),24,®,한국어,설강
교양,기초교육원,,학사,1학년,031.002,002,인문학글쓰기,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,008-304/008-304,이유선,26,25 (25),22,®,한국어,설강
교양,기초교육원,,학사,1학년,031.002,003,인문학글쓰기,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,008-304/008-304,이유선,20,25 (25),13,®,한국어,설강
교양,기초교육원,,학사,1학년,031.002,004,인문학글쓰기,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,008-302/008-302,이상원,44,25 (25),23,®,한국어,설강
교양,기초교육원,,학사,1학년,031.002,005,인문학글쓰기,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,008-302/008-302,이상원,33,25 (25),21,®,한국어,설강
