강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2018학년도,   학기 : 2학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,국어국문학과,학사,1학년,031.001,001,글쓰기의 기초,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,008-302/008-302,이주영,33,25 (25),23,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,002,글쓰기의 기초,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,003-104/003-104,김진규,15,25 (25),11,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,003,글쓰기의 기초,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,014-207/014-207,박형진,21,25 (25),25,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,004,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,003-104/003-104,장두영,68,25 (25),25,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,005,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,003-106/003-106,차익종,47,25 (25),21,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,006,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,003-107/003-107,이은주,32,25 (25),24,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,007,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,001-209/001-209,차익종,30,25 (25),24,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,008,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,003-103/003-103,나민애,47,25 (25),25,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,009,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,003-104/003-104,서반석,24,25 (25),10,"®자연과학대학, 의과대학 의예과, 치의학대학원 치의학과",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,010,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,008-402/008-402,이주영,32,25 (25),15,®간호대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,011,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,001-210/001-210,안순태,28,25 (25),26,®간호대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,012,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,083-501/083-501,장두영,48,25 (25),25,®공과대학 기계항공공학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,013,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,001-210/001-210,조연정,42,25 (25),22,®공과대학 기계항공공학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,014,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,001-102/001-102,나민애,60,25 (25),25,®공과대학 기계항공공학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,015,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,003-106/003-106,박형진,48,25 (25),25,®공과대학 기계항공공학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,016,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,003-107/003-107,김승민,37,25 (25),21,®공과대학 기계항공공학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,017,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,005-107-2/005-107-2,채윤미,19,25 (25),8,®공과대학 기계항공공학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,018,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,003-104/003-104,김진규,40,25 (25),24,®공과대학 기계항공공학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,019,글쓰기의 기초,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,003-107/003-107,김명운,6,25 (25),8,®공과대학 산업공학과,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,020,글쓰기의 기초,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,003-104/003-104,나민애,20,25 (25),24,®공과대학 산업공학과,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,021,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,003-103/003-103,김명운,28,25 (25),21,®공과대학 건축학과,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,022,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,003-104/003-104,이은주,31,25 (25),22,®공과대학 건축학과,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,023,글쓰기의 기초,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,003-106/003-106,차익종,20,25 (25),12,"®공과대학(기계항공공학부, 산업공학과, 건축학과 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,024,글쓰기의 기초,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,003-107/003-107,김영연,16,25 (25),6,"®공과대학(기계항공공학부, 산업공학과, 건축학과 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,025,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,003-106/003-106,차익종,29,25 (25),24,"®공과대학(기계항공공학부, 산업공학과, 건축학과 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,026,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,003-108/003-108,이홍우,15,25 (25),7,"®공과대학(기계항공공학부, 산업공학과, 건축학과 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,027,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,001-102/001-102,장두영,26,25 (25),25,"®공과대학(기계항공공학부, 산업공학과, 건축학과 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,028,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,003-106/003-106,나민애,25,25 (25),24,"®공과대학(기계항공공학부, 산업공학과, 건축학과 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,030,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,003-108/003-108,안순태,30,25 (25),23,®농업생명과학대학 농경제사회학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,031,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,014-104/014-104,김명운,27,25 (25),15,®농업생명과학대학 농경제사회학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,032,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,014-104/014-104,조연정,45,25 (25),24,®농업생명과학대학(농경제사회학부 제외),한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,033,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,003-103/003-103,김승민,30,25 (25),24,®농업생명과학대학(농경제사회학부 제외),한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,034,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,003-104/003-104,이은주,19,25 (25),9,®농업생명과학대학(농경제사회학부 제외),한국어,설강
