강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2018학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
교양,인문대학,국어국문학과,학사,1학년,031.001,001,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,003-106/003-106,양근애,37,25 (25),24,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,002,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,003-109/003-109,조연정,46,25 (25),23,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,003,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,001-102/001-102,차익종,54,25 (25),25,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,004,글쓰기의 기초,,3,3,0,월(11:00~12:15)/수(11:00~12:15),이론/이론,003-106/003-106,김명운,40,25 (25),24,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,005,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,003-104/003-104,장두영,34,25 (25),23,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,006,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,003-108/003-108,노연숙,48,25 (25),25,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,007,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,003-107/003-107,김승민,34,25 (25),23,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,008,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,003-106/003-106,김명운,35,25 (25),19,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,009,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,003-108/003-108,안순태,66,25 (25),24,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,010,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,003-107/003-107,박미란,20,25 (25),13,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,011,글쓰기의 기초,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,003-107/003-107,차익종,15,25 (25),25,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,012,글쓰기의 기초,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,003-108/003-108,이주영,48,25 (25),24,®인문대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,013,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,083-202/083-202,장두영,16,25 (25),24,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,014,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,083-202/083-202,조연정,30,25 (25),23,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,015,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,083-503/083-503,장두영,18,25 (25),17,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,016,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,083-202/083-202,양근애,44,25 (25),24,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,017,글쓰기의 기초,,3,3,0,월(12:30~13:45)/수(12:30~13:45),이론/이론,003-108/003-108,이은주,16,25 (25),21,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,018,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,083-202/083-202,양근애,29,25 (25),24,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,019,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,003-107/003-107,이은주,17,25 (25),21,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,020,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,003-108/003-108,차익종,28,25 (25),25,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,021,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,083-201/083-203,나민애,39,25 (25),25,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,022,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,083-203/083-203,이민영,15,25 (25),11,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,024,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,003-106/003-106,김승민,45,25 (25),25,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,025,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,083-201/083-201,김정현,17,25 (25),18,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,026,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,083-201/083-201,나민애,70,25 (25),25,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,027,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,003-106/003-106,안순태,45,25 (25),24,"®사회과학대학, 법과대학",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,028,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,001-210/001-210,이은주,21,25 (25),22,®경영대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,029,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,001-209/001-209,노연숙,26,25 (25),25,®경영대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,030,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,083-201/083-201,장두영,25,25 (25),23,®경영대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,031,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,003-107/003-107,조연정,23,25 (25),20,®경영대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,032,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,003-104/003-104,차익종,25,25 (25),23,®경영대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,033,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,083-402/083-402,이은주,15,25 (25),12,®경영대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,034,글쓰기의 기초,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,003-106/003-106,이주영,54,25 (25),25,"®사범대학(수학교육과, 과학교육계열 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,035,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,009-101/009-101,노연숙,36,25 (25),25,"®사범대학(수학교육과, 과학교육계열 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,036,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,009-102/009-102,나민애,70,25 (25),25,"®사범대학(수학교육과, 과학교육계열 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,037,글쓰기의 기초,,3,3,0,화(12:30~13:45)/목(12:30~13:45),이론/이론,001-102/001-102,박형진,36,25 (25),25,"®사범대학(수학교육과, 과학교육계열 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,038,글쓰기의 기초,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,009-101/009-101,노연숙,27,25 (25),25,"®사범대학(수학교육과, 과학교육계열 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,039,글쓰기의 기초,,3,3,0,화(15:30~16:45)/목(15:30~16:45),이론/이론,007-201/007-201,유연주,21,25 (25),5,"®사범대학(수학교육과, 과학교육계열 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,040,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,003-104/003-104,양근애,25,25 (25),25,"®사범대학(수학교육과, 과학교육계열 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,041,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,003-107/003-107,김명운,15,25 (25),19,"®사범대학(수학교육과, 과학교육계열 제외)",한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,042,글쓰기의 기초,,3,3,0,화(14:00~15:15)/목(14:00~15:15),이론/이론,009-115/009-115,서여진,24,25 (25),25,®생활과학대학 소비자아동학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,043,글쓰기의 기초,,3,3,0,월(09:30~10:45)/수(09:30~10:45),이론/이론,083-502/083-502,박형진,20,25 (25),24,®생활과학대학 소비자아동학부,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,044,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,003-103/003-103,이의종,25,25 (25),14,®음악대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,045,글쓰기의 기초,,3,3,0,월(14:00~15:15)/수(14:00~15:15),이론/이론,009-115/009-115,장고은,23,25 (25),18,®음악대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,046,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,003-106/003-106,김승민,25,25 (25),24,®음악대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,047,글쓰기의 기초,,3,3,0,화(11:00~12:15)/목(11:00~12:15),이론/이론,009-115/009-115,고은임,19,25 (25),22,®음악대학,한국어,설강
교양,인문대학,국어국문학과,학사,1학년,031.001,048,글쓰기의 기초,,3,3,0,화(09:30~10:45)/목(09:30~10:45),이론/이론,003-103/003-103,이홍우,25,25 (25),25,®음악대학,한국어,설강
