강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2021학년도,   학기 : 2학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전선,음악대학,작곡과,학사,1학년,M2183.003400,001,"스튜디오 뮤직 메이킹 (로직, 거라지밴드) 입문",,2,1,2,월(13:00~13:50)/월(14:00~15:50),이론/실습,220-413/220-413,석승희,17,15 (15),12,,한국어,설강
전선,음악대학,작곡과,학사,1학년,M2183.003500,001,"스튜디오 뮤직 메이킹 (로직, 거라지밴드) 고급",,2,1,2,월(16:00~16:50)/월(17:00~18:50),이론/실습,220-413/220-413,석승희,10,15 (15),9,,한국어,설강
전선,음악대학,작곡과,학사,1학년,M2183.003600,001,"스튜디오 뮤직 메이킹 (로직, 사운드 디자인) 입문",,2,1,2,금(13:00~13:50)/금(14:00~15:50),이론/실습,220-413/220-413,오석빈,33,15 (15),13,,한국어,설강
전선,음악대학,작곡과,학사,1학년,M2183.003700,001,"스튜디오 뮤직 메이킹 (로직, 사운드 디자인) 고급",,2,1,2,금(16:00~16:50)/금(17:00~18:50),이론/실습,220-413/220-413,오석빈,17,15 (15),11,,한국어,설강
전선,인문대학,영어영문학과,학사,3학년,M1236.001900,001,18세기 영국소설,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,1-203/1-203,민은경,19,30 (30),8,ⓔ,영어,설강
전선,음악대학,음악과,석박사통합,0,657.730,001,20세기음악사연구,,3,3,0,수(10:00~12:50),이론,220-417,강지영,19,15 (15),14,,한국어,설강
전선,생활과학대학,의류학과,학사,3학년,M1461.003400,001,3D 패턴 CAD 및 가상착의 2,,3,2,2,화(14:00~14:50)/화(15:00~15:50)/화(16:00~17:50),이론/이론/실습,222-216/222-219/222-226,박주연,10,20 (20),8,"ⓔ® -의류학과 주전공(제2전공 포함) 외 수강불허-<3D 패턴설계 및 가상착의> 또는 <어패럴 패턴 캐드> 기수강자만 가능-수강신청 1~4일차에는 의류학 주전공생만, 5~6일차에는 주전공 및 제2전공자 수강신청 가능",영어,설강
전선,생활과학대학,의류학과,석사,0,M1461.002800,001,4차산업혁명과 ICT융합섬유,,3,3,0,토(09:00~11:50),이론,222-226,김성민,7,20 (20),10,ICT 융합섬유 제조과정 전문인력양성사업 수혜학생만 수강 가능,한국어,설강
전선,사범대학,AI융합교육학과,석사,1학년,M3450.001000,001,AI 및 첨단기술활용 STEAM 교수 설계,,3,3,0,목(18:30~19:45)/목(20:00~21:15),이론/이론,10-1-107/10-1-107,정대홍,27,25 (25),26,,한국어,설강
전선,농업생명과학대학,,학사,2학년,M2179.003900,001,4차 산업혁명과 농업 I,,3,2,2,수(14:00~15:50)/수(16:00~17:50),이론/실습,/,김용환,20,24 (24),22,"®강의실: 75-1동 203호, 농생대 학부생(주전공, 제2전공), 대학원생만 수강 가능",한국어,설강
전선,생활과학대학,의류학과,학사,2학년,M1461.002600,001,3D 패션스튜디오,,3,2,2,월(09:00~10:50)/월(11:00~12:50),이론/실습,222-216/222-219,김종선,27,30 (30),27,"®-의류학과 주전공(제2전공 포함) 외 수강불허-수강신청 1~4일차에는 의류학 주전공생만, 5~6일차에는 주전공 및 제2전공자 수강신청 가능",한국어,설강
전선,미술대학,조소과,학사,3학년,603.420,001,3D 미디어 구현기법,,2,1,2,금(10:00~12:50),이론,83-503,한승구,15,15 (15),18,,한국어,설강
전선,미술대학,조소과,학사,2학년,613.360,001,3D 애니메이션,,2,1,2,금(14:00~14:50)/금(15:00~16:50),이론/실기,83-603/83-603,한승구,37,15 (15),16,,한국어,설강
전선,치의학대학원,치의학과,석사,3학년,861.S710,001,3차원 가상 set-up에 의한 디지털 교정치료,,1,0,48,,,,백승학,38,30 (30),25,,한국어,설강
전선,공과대학,컴퓨터공학부,학사,3학년,M1522.002700,001,IT창업개론,,3,3,0,월(15:30~16:45)/수(15:30~16:45),이론/이론,302-106/302-106,이상구,59,30 (30),23,"(수강신청 1~4일: 8/10~8/17) 컴퓨터공학부 주전공(자유전공학부 포함)만 신청 가능 (수강신청 5일차부터: 8/18) 컴퓨터공학부 주전공(자유전공학부 포함), 컴퓨터공학부 복수전공, 부전공, 연합전공 인공지능, 연합전공 인공지능 반도체공학 전공만 신청가능(수강신청 6일차부터: 8/19) 전체 학생 신청 가능 (정원내 신청 가능)",한국어,설강
전선,공과대학,컴퓨터공학부,학사,4학년,M3244.000400,001,AI와 법,,3,3,0,금(14:00~16:50),이론,15-1-301,박도현,69,50 (50),41,"(수강신청 1~4일: 8/10~8/17) 연합전공 인공지능, 컴퓨터공학부 주전공(자유전공학부 포함), 전기·정보공학부 주전공(자유전공학부 포함) 신청 가능. (수강신청 5일차부터: 8/18) 전체 학생 신청 가능 (정원내 신청 가능)",한국어,설강
전선,자연과학대학,협동과정생물물리및화학생물학전공,석박사통합,0,M1430.001500,001,BPCB 세미나 Ⅰ,,2,0,4,수(17:00~20:50),실습,105-2-131,김성연,4,10 (10),3,,한국어,설강
전선,생활과학대학,소비자아동학부,학사,3학년,M1471.000100,001,ICT시장과 소비자,,3,3,0,목(14:00~16:50),이론,222-B203,김지혜,21,40 (40),24,,한국어,설강
전선,융합과학기술대학원,지능정보융합학과,석박사통합,0,M3294.000200,001,AI와 기술문화,,3,3,0,수(14:00~16:50),이론,,이재현,28,20 (20),12,https://bit.ly/3ADoCUV 시간표 참조,한국어,설강
전선,사회과학대학,언론정보학과,석박사통합,,M1312.000100,001,HCI 연구방법론,,3,3,0,월(14:00~16:50),이론,64-304,이준환,56,20 (20),23,,한국어,설강
