강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2020학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전선,농업생명과학대학,농경제사회학부,학사,4학년,5202.405,001,공간경제모형론,,3,3,0,금(15:00~17:50),이론,200-1007,이성우,13,40 (40),15,,한국어,설강
전선,농업생명과학대학,농경제사회학부,학사,3학년,5202.410,001,공간경제 계량분석,,3,3,0,수(13:00~15:50),이론,200-1039,우영진,19,40 (40),24,,한국어,설강
전필,농업생명과학대학,농경제사회학부,학사,4학년,5202.415,001,지역정보학연구,,2,2,0,목(15:00~16:50),이론,200-8202,최영찬,9,40 (40),9,ⓔ,영어,설강
전선,농업생명과학대학,농경제사회학부,석박사통합,0,5202.501,001,지역정보세미나 1,,1,0,2,목(11:00~12:50),실습,200-1042,최영찬,5,30 (30),9,ⓔ,영어,설강
전선,농업생명과학대학,농경제사회학부,석박사통합,0,5202.758,001,공간경제연구,,3,3,0,월(18:30~21:20),이론,200-8202,김의준,21,26 (26),15,,한국어,설강
전선,농업생명과학대학,농경제사회학부,석박사통합,0,5202.762,001,식품비즈니스연구방법론 1,,3,3,0,금(12:00~14:50),이론,200-8202,문정훈,6,26 (26),6,,한국어,설강
전선,농업생명과학대학,산림과학부,학사,2학년,5241.214A,001,산림생태학 및 실습,,3,2,2,수(14:00~15:50)/수(16:00~17:50),이론/실습,200-2005/200-2005,박필선,38,30 (30),37,,한국어,설강
전선,농업생명과학대학,산림과학부,학사,3학년,5241.311,001,생태경제학 및 실습,,3,2,2,화(10:00~11:50)/목(10:00~11:50),이론/실습,200-7218/200-7218,윤여창,11,30 (30),5,,한국어,설강
전선,농업생명과학대학,산림과학부,학사,3학년,5241.321,001,수목생리학,,3,2,2,목(14:00~15:50)/목(16:00~17:50),이론/실습,200-7218/200-7218,김현석,31,30 (30),25,,한국어,설강
전선,농업생명과학대학,산림과학부,학사,4학년,5241.411B,001,산림공학 및 실습,,3,2,2,월(09:00~10:50)/월(11:00~12:50),이론/실습,200-7218/200-7218,임상준,26,30 (30),30,,한국어,설강
전필,농업생명과학대학,산림과학부,학사,4학년,5241.413,001,산림자원경영학 및 실습,,3,2,2,화(13:00~14:50)/화(15:00~16:50),이론/실습,200-7218/200-7218,정주상,22,30 (30),28,,한국어,설강
