강좌검색,,,,,,,,,,,,,,,,,,,,,
" 년도 : 2021학년도,   학기 : 1학기,   교양영역 : 전체,   상위영역 : 전체,   이수과정 : 전체,   학년 : 전체,   개설대학 : 전체,   개설학과 : 전체,   개설전공 : 전체,   수업진행형태 : 전체,   성적부여형태 : 전체",,,,,,,,,,,,,,,,,,,,,
교과구분,개설대학,개설학과,이수과정,학년,교과목번호,강좌번호,교과목명,부제명,학점,강의,실습,수업교시,수업형태,"강의실(동-호)(#연건, *평창)",주담당교수,장바구니신청,정원,수강신청인원,비고,강의언어,개설상태
전필,공과대학,건축학과,학사,2학년,M1498.013800,001,건축설계연습 3,,2,0,4,토(09:00~12:50),실습,39-438-2,조항만,1,10 (10),1,"®타과생 수강불가(복수/부전공생 제외), 2015 이전 학번 '기초스튜디오 3' 함께 수강",한국어,설강
전필,공과대학,건축학과,학사,1학년,M1498.000900,001,건축설계연습 1,,2,0,4,토(09:00~12:50),실습,39-438-1,강예린,2,10 (10),1,"ⓔ® 타과생 수강불가(복수/부전공생 제외), 2015 이전 학번 '기초스튜디오 1' 함께 수강",영어,설강
전필,공과대학,건축학과,학사,3학년,M1498.001300,001,건축전산,,3,2,2,목(18:00~19:50)/목(20:00~21:50),이론/실습,39-415/39-415,백장운,27,30 (30),26,"®전필, 졸업예정자 우선수강 타과생 초안지 신청",한국어,설강
전선,법학전문대학원,법학과,석박사통합,3학년,931.770,001,검찰실무2,,2,2,0,수(19:00~20:50),이론,15-1-301,나희석,19,50 (50),28,®타과생수강불허,한국어,설강
전선,경영대학,경영학과,석박사통합,0,M0000.007300,001,경영전략이론연구II,,3,3,0,수(14:00~16:50),이론,58-219,박선현,34,20 (20),11,ⓔ,영어,설강
전필,경영대학,경영학과,학사,1학년,M2171.001900,003,경영을 위한 경제학,,3,3,0,목(13:00~15:50),이론,58-327,김형진,40,70 (70),29,전공별 순차적 수강신청(경영대 홈페이지 공지 참고),한국어,설강
전필,경영대학,경영학과,학사,1학년,M2171.001900,001,경영을 위한 경제학,,3,3,0,수(09:30~12:20),이론,58-324,최동범,35,80 (80),88,"ⓔ®타과생 수강 불허, 경영학과 신입생 우선 신청",영어,설강
전필,경영대학,경영학과,학사,1학년,M2171.001900,002,경영을 위한 경제학,,3,3,0,화(13:00~15:50),이론,58-325,최동범,30,80 (80),77,"ⓔ®타과생 수강 불허, 경영학과 신입생 우선 신청",영어,설강
전필,경영대학,경영학과,학사,1학년,M2171.002100,001,경영철학과 윤리,,3,3,0,월(09:30~12:20),이론,58-131,박원우,51,150 (150),178,"®타과생 수강 불허, 경영학과 신입생 우선 신청",한국어,설강
전필,경영대학,경영학과,학사,1학년,M2171.002000,001,경영학과 나의 미래,,1,1,0,화(16:00~16:50),이론,58-131,백복현,58,150 (150),195,"®타과생 수강 불허, 경영학과 신입생 우선 신청",한국어,설강
전선,국제농업기술대학원,국제농업기술학과,석박사통합,0,M3190.000300,001,경제동물과학 특강,,3,3,0,목(13:00~15:50),이론,*102-102-418,박태섭,2,10 (10),3,ⓔ,영어,설강
전필,국제농업기술대학원,국제농업기술학과,석박사통합,0,M3190.000200,001,경제동물과학개론,,3,3,0,금(09:00~11:50),이론,*102-102-218,김갑돈,4,20 (20),6,ⓔ,영어,설강
전선,국제농업기술대학원,국제농업기술학과,석박사통합,,M2868.006200,001,경제동물산업기술 인턴십,,3,0,6,,,,박중훈,1,5 (5),1,ⓔ,영어,설강
전선,국제대학원,국제학과,석사,0,M2048.000200,001,경제성장과 국제개발,,3,3,0,월(14:00~16:50),이론,140-2-202,정혁,61,50 (50),27,ⓔ상호인정: 통상 또는 협력,영어,설강
전선,행정대학원,행정학과,석사,0,920.620,001,경제분석,,3,3,0,화(19:00~21:50),이론,57-1-421,박상인,70,40 (40),26,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,058,논문연구,,2,2,0,,,,박주철,0,10 (10),1,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,056,논문연구,,2,2,0,,,,류현모,1,10 (10),1,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,060,논문연구,,2,2,0,,,,김성균,0,10 (10),1,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,061,논문연구,,2,2,0,,,,금기연,0,10 (10),1,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,069,논문연구,,2,2,0,,,,장미숙,0,10 (10),1,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,068,논문연구,,2,2,0,,,,박윤정,1,10 (10),1,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,071,논문연구,,2,2,0,,,,이우철,0,10 (10),1,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,065,논문연구,,2,2,0,,,,홍성두,0,10 (10),2,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,072,논문연구,,2,2,0,,,,김영재,0,10 (10),1,,한국어,설강
논문,치의학대학원,치의학과,석사,0,861.736,064,논문연구,,2,2,0,,,,안석준,0,10 (10),1,,한국어,설강
